iter	Passed	Remaining
661	16365	8356
662	16389	8330
663	16411	8304
664	16436	8279
665	16460	8254
666	16486	8230
667	16512	8206
668	16541	8184
669	16566	8159
670	16595	8136
671	16622	8113
672	16649	8089
673	16677	8066
674	16702	8042
675	16727	8017
676	16753	7993
677	16778	7968
678	16801	7943
679	16834	7922
680	16857	7896
681	16881	7871
682	16905	7846
683	16928	7820
684	16952	7795
685	16978	7771
686	17004	7747
687	17028	7722
688	17054	7698
689	17076	7672
690	17102	7647
691	17130	7624
692	17156	7600
693	17183	7576
694	17209	7552
695	17232	7526
696	17257	7502
697	17283	7477
698	17308	7453
699	17332	7428
700	17361	7405
701	17386	7380
702	17412	7356
703	17439	7332
704	17462	7307
705	17486	7281
706	17509	7256
707	17533	7231
708	17559	7207
709	17584	7182
710	17611	7158
711	17631	7131
712	17653	7105
713	17674	7079
714	17697	7054
715	17720	7028
716	17740	7002
717	17763	6976
718	17786	6951
719	17813	6927
720	17836	6902
721	17858	6876
722	17884	6851
723	17906	6826
724	17932	6801
725	17957	6777
726	17978	6751
727	18001	6725
728	18022	6699
729	18046	6674
730	18071	6650
731	18098	6626
732	18122	6601
733	18144	6575
734	18166	6549
735	18190	6524
736	18215	6500
737	18242	6476
738	18270	6452
739	18293	6427
740	18315	6401
741	18342	6378
742	18366	6352
743	18386	6326
744	18409	6301
745	18434	6276
746	18463	6253
747	18487	6228
748	18516	6204
749	18540	6180
750	18563	6155
751	18586	6129
752	18608	6104
753	18632	6078
754	18659	6055
755	18690	6032
756	18716	6008
757	18742	5983
758	18769	5959
759	18796	5935
760	18825	5912
761	18850	5887
762	18872	5861
763	18893	5836
764	18916	5811
765	18941	5786
766	18966	5761
767	18991	5736
768	19015	5712
769	19038	5686
770	19060	5661
771	19087	5637
772	19110	5612
773	19130	5585
774	19156	5561
775	19179	5536
776	19202	5511
777	19227	5486
778	19249	5460
779	19277	5437
780	19301	5412
781	19325	5387
782	19349	5362
783	19373	5337
784	19394	5311
785	19421	5287
786	19447	5263
787	19472	5238
788	19495	5213
789	19515	5187
790	19541	5163
791	19564	5138
792	19589	5113
793	19614	5088
794	19639	5064
795	19663	5039
796	19689	5014
797	19716	4990
798	19739	4965
799	19765	4941
800	19791	4917
801	19814	4891
802	19840	4867
803	19863	4842
804	19887	4817
805	19914	4793
806	19939	4768
807	19960	4743
808	19985	4718
809	20009	4693
810	20034	4669
811	20059	4644
812	20083	4619
813	20103	4593
814	20128	4569
815	20149	4543
816	20172	4518
817	20192	4492
818	20213	4467
819	20237	4442
820	20260	4417
821	20283	4392
822	20307	4367
823	20329	4342
824	20352	4317
825	20378	4292
826	20402	4267
827	20431	4244
828	20453	4218
829	20474	4193
830	20495	4168
831	20519	4143
832	20546	4119
833	20574	4095
834	20600	4070
835	20623	4045
836	20647	4020
837	20676	3997
838	20704	3973
839	20731	3948
840	20753	3923
841	20777	3898
842	20805	3874
843	20829	3850
844	20855	3825
845	20882	3801
846	20911	3777
847	20936	3752
848	20961	3728
849	20987	3703
850	21012	3678
851	21035	3654
852	21056	3628
853	21084	3604
854	21106	3579
855	21134	3555
856	21161	3531
857	21186	3506
858	21207	3481
859	21229	3455
860	21255	3431
861	21279	3406
862	21302	3381
863	21328	3357
864	21351	3332
865	21374	3307
866	21399	3282
867	21422	3257
868	21447	3233
869	21469	3208
870	21494	3183
871	21518	3158
872	21542	3133
873	21567	3109
874	21596	3085
875	21619	3060
876	21641	3035
877	21666	3010
878	21691	2986
879	21718	2961
880	21742	2936
881	21773	2913
882	21799	2888
883	21824	2863
884	21851	2839
885	21877	2814
886	21900	2790
887	21927	2765
888	21953	2741
889	21977	2716
890	22001	2691
891	22028	2667
892	22050	2642
893	22075	2617
894	22100	2592
895	22122	2567
896	22148	2543
897	22172	2518
898	22194	2493
899	22223	2469
900	22252	2445
901	22276	2420
902	22303	2395
903	22324	2370
904	22350	2346
905	22377	2321
906	22399	2296
907	22423	2271
908	22447	2247
909	22470	2222
910	22496	2197
911	22517	2172
912	22544	2148
913	22572	2123
914	22596	2099
915	22620	2074
916	22646	2049
917	22671	2025
918	22701	2000
919	22725	1976
920	22748	1951
921	22770	1926
922	22794	1901
923	22820	1876
924	22847	1852
925	22875	1828
926	22903	1803
927	22928	1778
928	22955	1754
929	22980	1729
930	23006	1705
931	23029	1680
932	23058	1655
933	23084	1631
934	23110	1606
935	23139	1582
936	23163	1557
937	23192	1532
938	23214	1508
939	23239	1483
940	23264	1458
941	23292	1434
942	23317	1409
943	23342	1384
944	23365	1359
945	23390	1335
946	23413	1310
947	23435	1285
948	23459	1260
949	23482	1235
950	23506	1211
951	23532	1186
952	23555	1161
953	23579	1136
954	23602	1112
955	23624	1087
956	23644	1062
957	23666	1037
958	23690	1012
959	23713	988
960	23742	963
961	23767	938
962	23792	914
